client_time,device_time,gsr_data
1625448074643,1.62544807314284E9,3.164878
1625448074643,1.62544807339284E9,3.1661584
1625448074643,1.62544807364284E9,3.2084196
1625448074643,1.62544807389284E9,3.2609255
1625448074643,1.62544807414284E9,3.3313606
1625448074643,1.62544807439284E9,3.474792
1625448076142,1.62544807464284E9,3.5650394
1625448076142,1.62544807489284E9,3.58681
1625448076142,1.62544807514284E9,3.6239488
1625448076142,1.62544807539284E9,3.6277907
1625448076142,1.62544807564284E9,3.6239488
1625448076142,1.62544807589284E9,3.6073005
1625448077642,1.62544807614284E9,3.588091
1625448077642,1.62544807639284E9,3.5688813
1625448077642,1.62544807664284E9,3.538146
1625448077642,1.62544807689284E9,3.5202172
1625448077642,1.62544807714284E9,3.5189364
1625448077642,1.62544807739284E9,3.5048494
1625448079146,1.62544807764284E9,3.503569
1625448079146,1.62544807789284E9,3.4946043
1625448079146,1.62544807814284E9,3.4869206
1625448079146,1.62544807839284E9,3.477956
1625448079146,1.62544807864284E9,3.4741142
1625448079146,1.62544807889284E9,3.467711
1625448080642,1.62544807914284E9,3.4600272
1625448080642,1.62544807939284E9,3.4446595
1625448080642,1.62544807964284E9,3.429292
1625448080642,1.62544807989284E9,3.4190469
1625448080642,1.62544808014284E9,3.421608
1625448080642,1.62544808039284E9,3.4241693
1625448082142,1.62544808064284E9,3.4689915
1625448082142,1.62544808089284E9,3.6008973
1625448082142,1.62544808114284E9,3.7865896
1625448082142,1.62544808139284E9,3.9428272
1625448082143,1.62544808164284E9,4.0175624
1625448082143,1.62544808189284E9,4.0444555
1625448083645,1.62544808214284E9,4.0406137
1625448083645,1.62544808239284E9,4.000914
1625448083645,1.62544808264284E9,3.9291985
1625448083645,1.62544808289284E9,3.8549213
1625448083645,1.62544808314284E9,3.7985735
1625448083645,1.62544808339284E9,3.743506
1625448085142,1.62544808364284E9,3.7127707
1625448085143,1.62544808389284E9,3.658984
1625448085143,1.62544808414284E9,3.594952
1625448085143,1.62544808439284E9,3.5898297
1625448085143,1.62544808464284E9,3.5680587
1625448085143,1.62544808489284E9,3.5539718
1625448086642,1.62544808514284E9,3.5373235
1625448086642,1.62544808539284E9,3.5309203
1625448086642,1.62544808564284E9,3.556533
1625448086642,1.62544808589284E9,3.6743517
1625448086642,1.62544808614284E9,3.8869374
1625448086642,1.62544808639284E9,4.068788
1625448088142,1.62544808664284E9,4.198132
1625448088142,1.62544808689284E9,4.287777
1625448088142,1.62544808714284E9,4.3300376
1625448088142,1.62544808739284E9,4.312109
1625448088142,1.62544808764284E9,4.2788124
